loss,accuracy
298.1102600097656,38050.1171875
297.7002868652344,37993.75
297.1764831542969,37937.5
296.6231994628906,37881.1953125
296.19085693359375,37825.0078125
295.8663024902344,37769.0859375
295.4249572753906,37713.23046875
295.0830383300781,37657.66015625
294.64434814453125,37602.48046875
294.1466064453125,37547.1640625
293.6936950683594,37491.68359375
293.24444580078125,37436.6171875
292.8346862792969,37381.69921875
292.55230712890625,37326.98828125
291.9569396972656,37272.11328125
291.47955322265625,37217.4140625
291.0574951171875,37163.0078125
290.65692138671875,37108.5078125
290.2655944824219,37053.9296875
289.80828857421875,36999.27734375
289.4795227050781,36944.921875
288.95965576171875,36890.66015625
288.5965881347656,36836.4140625
288.18682861328125,36781.76953125
287.7312927246094,36727.12109375
287.2330322265625,36672.21875
286.91790771484375,36617.41796875
286.4700927734375,36562.796875
286.0666809082031,36508.8046875
285.6551513671875,36454.6875
285.1187438964844,36400.58203125
284.7036437988281,36346.84765625
284.3178405761719,36292.75390625
283.95556640625,36238.6171875
283.5052185058594,36185.03125
283.0411071777344,36131.1875
282.5488586425781,36077.90234375
282.08905029296875,36024.8671875
281.8587341308594,35971.9453125
281.42279052734375,35919.37109375
280.9834899902344,35866.8984375
280.57000732421875,35814.43359375
280.11468505859375,35761.8125
279.7849426269531,35709.14453125
279.4239196777344,35656.734375
278.96832275390625,35604.49609375
278.4844055175781,35552.21875
278.1137390136719,35500.25
277.6528625488281,35448.4140625
277.420654296875,35396.4921875
276.8247985839844,35344.21484375
276.5937805175781,35292.078125
276.0869445800781,35240.0703125
275.7122802734375,35187.91015625
275.1888732910156,35135.6796875
274.74163818359375,35083.5625
274.4205322265625,35032.21484375
273.92572021484375,34980.79296875
273.606201171875,34929.3984375
273.251708984375,34878.171875
272.8939208984375,34826.89453125
272.4145812988281,34775.87109375
272.12139892578125,34725.18359375
271.5322570800781,34674.49609375
271.2359619140625,34623.8125
270.7951354980469,34573.18359375
270.4164733886719,34522.94921875
270.03216552734375,34472.5234375
269.6510009765625,34421.82421875
269.23406982421875,34371.1875
268.8561096191406,34320.140625
268.4200744628906,34269.296875
268.1194763183594,34218.78515625
267.616943359375,34168.671875
267.22711181640625,34119.19921875
266.8734436035156,34069.6171875
266.41180419921875,34020.08984375
266.08953857421875,33970.24609375
265.7111511230469,33921.00390625
265.3432922363281,33872.21484375
264.9013671875,33823.33984375
264.4385681152344,33774.515625
264.1072082519531,33725.40234375
263.77239990234375,33676.3671875
263.44921875,33627.953125
262.959228515625,33579.6640625
262.72247314453125,33531.50390625
262.4241943359375,33483.046875
261.8115539550781,33434.47265625
261.4964294433594,33386.0078125
261.1220703125,33337.4453125
260.77532958984375,33289.26953125
260.45892333984375,33241.23828125
259.9677734375,33193.8359375
259.8943176269531,33145.9609375
259.2266540527344,33097.9296875
258.8960876464844,33049.90234375
258.5422668457031,33001.73828125
258.1026306152344,32953.87109375
257.7829895019531,32906.671875
257.49176025390625,32859.54296875
257.0101623535156,32812.5390625
256.6572570800781,32765.392578125
256.3245849609375,32718.1015625
255.94866943359375,32670.6328125
255.6228485107422,32623.51953125
255.2412109375,32576.453125
254.74522399902344,32528.998046875
254.4806365966797,32481.408203125
254.0625457763672,32433.81640625
253.70372009277344,32386.25
253.37826538085938,32338.634765625
253.0289306640625,32291.080078125
252.64646911621094,32243.421875
252.10928344726562,32196.349609375
251.81234741210938,32149.12890625
251.51876831054688,32102.140625
251.09249877929688,32054.818359375
250.73147583007812,32007.810546875
250.3441162109375,31961.029296875
249.9650421142578,31914.466796875
249.66453552246094,31868.0078125
249.30938720703125,31822.115234375
248.96449279785156,31776.6484375
248.63601684570312,31731.583984375
248.19961547851562,31686.76171875
247.9171905517578,31641.82421875
247.55117797851562,31596.85546875
247.13607788085938,31551.583984375
246.6350860595703,31506.919921875
246.4045867919922,31462.5390625
246.11085510253906,31418.24609375
245.7569122314453,31373.98046875
245.4228973388672,31330.392578125
245.050537109375,31286.623046875
244.70809936523438,31242.673828125
244.38653564453125,31198.416015625
244.07510375976562,31154.39453125
243.62644958496094,31110.888671875
243.4224090576172,31067.1875
242.94651794433594,31023.474609375
242.6562042236328,30980.1953125
242.35824584960938,30937.3125
242.05697631835938,30894.677734375
241.5982666015625,30852.0234375
241.33912658691406,30809.19921875
241.02630615234375,30766.421875
240.6080322265625,30723.4609375
